,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown
0,154,514,100,2,5,ocean,6.77,6.9,8.76,1,515,1
1,7,26,4,4,7,malaria,4.83,5.66,6.64,1,27,1
2,88,314,100,1,5,table,6.5,7.0,7.6,1,315,1
3,134,433,100,2,6,effort,3.33,2.22,5.75,1,434,1
4,167,552,25,2,7,speaker,5.67,6.13,5.54,1,553,1
5,29,98,9,3,10,discretion,2.27,1.34,4.2,1,99,1
6,225,823,19,2,8,hardship,4.1,2.93,5.48,1,824,1
7,54,198,1,2,6,gadfly,3.77,5.87,3.28,1,199,0
8,174,586,27,2,7,scarlet,6.37,5.96,5.8,1,587,1
9,181,604,100,2,6,forest,6.63,6.69,9.12,1,605,1
10,6,19,2,2,9,horsehair,5.67,6.8,6.2,1,20,1
11,122,413,50,3,6,memory,3.1,1.78,5.0,1,414,0
12,177,595,19,3,10,strawberry,6.8,7.0,6.71,1,596,0
13,169,570,50,2,6,cattle,6.4,6.79,7.56,1,571,0
14,145,464,1,4,8,busybody,5.17,5.0,5.5,1,465,1
15,25,87,4,3,8,vocation,3.8,3.26,6.12,1,88,1
16,117,392,21,3,10,enterprise,3.07,3.55,5.36,1,393,1
17,15,53,50,2,6,coffee,6.73,6.89,7.28,1,54,0
18,51,190,1,2,5,mucus,5.53,6.16,6.38,1,191,0
19,116,390,100,1,4,form,4.3,4.08,4.6,1,391,0
20,204,720,50,2,6,series,4.47,3.88,5.36,1,721,1
21,70,258,7,3,8,exertion,4.33,2.88,6.0,1,259,0
22,28,96,50,1,5,shame,4.1,1.7,5.16,1,97,1
23,135,434,50,1,5,coast,6.13,6.59,6.4,1,435,0
24,232,857,2,2,7,skillet,6.1,6.8,7.43,1,858,1
25,81,290,23,1,5,truck,6.6,7.0,6.48,1,291,0
26,209,743,100,1,6,health,4.1,3.54,6.39,1,744,0
27,233,874,23,3,10,restaurant,6.47,6.83,6.88,1,875,1
28,22,73,50,2,5,apple,6.73,7.0,7.67,1,74,0
29,52,194,100,2,6,flower,6.57,6.96,7.13,1,195,1
30,128,422,16,2,5,abode,5.07,6.31,6.64,1,423,1
31,40,160,100,2,7,meeting,5.2,4.8,5.0,1,161,0
32,108,370,100,1,4,book,6.43,6.96,7.68,1,371,1
33,32,110,100,1,4,door,6.6,7.0,7.96,1,111,0
34,84,298,32,2,5,candy,6.63,6.56,6.39,1,299,1
35,171,575,7,2,6,portal,5.1,6.25,5.63,1,576,0
36,31,109,3,3,7,algebra,5.17,4.85,6.72,1,110,0
37,42,163,20,3,9,sensation,3.67,1.99,5.16,1,164,0
38,218,795,22,1,5,spray,6.17,6.21,6.48,1,796,1
39,191,641,27,1,6,pledge,3.63,2.93,5.92,1,642,0
40,215,776,1,3,5,idiom,3.0,3.44,4.6,1,777,1
41,158,530,50,1,4,dawn,6.37,5.83,7.36,1,531,0
42,132,430,29,1,5,swamp,6.33,6.62,6.67,1,431,1
43,30,100,50,4,11,development,3.07,2.82,6.04,1,101,1
44,63,233,50,2,7,passion,5.3,1.66,5.68,1,234,1
45,205,723,8,3,10,instructor,5.7,6.45,6.29,1,724,0
46,18,66,36,2,6,victim,5.07,5.49,5.36,1,67,0
47,188,621,9,1,6,corpse,6.5,6.89,6.52,1,622,1
48,216,778,4,4,9,festivity,5.3,4.45,6.4,1,779,1
49,69,254,50,2,5,metal,5.87,6.76,6.96,1,255,1
50,173,583,100,1,5,board,6.07,6.87,6.92,1,584,1
51,208,735,8,4,10,metropolis,5.97,5.62,6.28,1,736,0
52,200,698,100,2,7,machine,6.0,6.75,5.88,1,699,0
53,144,463,1,2,7,boredom,3.83,1.94,4.63,1,464,1
54,136,443,9,3,9,ownership,3.27,3.07,5.2,1,444,0
55,2,7,2,3,9,vestibule,5.43,6.73,6.0,1,8,1
56,118,396,28,2,6,rattle,6.3,6.6,6.8,1,397,0
57,72,266,24,3,5,agony,5.43,3.13,6.06,1,267,1
58,150,490,27,2,6,banker,6.03,6.38,6.56,1,491,1
59,217,782,1,2,5,amour,5.5,2.65,5.08,1,783,1
60,44,169,23,4,11,legislation,3.33,4.0,5.92,1,170,1
61,133,432,48,3,11,grandmother,6.43,6.66,6.08,1,433,0
62,156,519,50,5,11,opportunity,3.03,2.63,4.08,1,520,1
63,38,130,8,3,8,mosquito,6.53,6.96,7.84,1,131,0
64,12,47,50,3,8,occasion,2.53,3.22,5.0,1,48,1
65,73,268,100,2,7,picture,6.2,6.75,7.16,1,269,0
66,101,335,1,1,6,shriek,5.73,5.7,6.92,1,336,0
67,182,607,26,2,4,jury,6.07,6.17,6.88,1,608,0
68,165,550,46,1,4,cash,6.17,6.28,7.21,1,551,1
69,74,269,25,4,8,ceremony,5.37,4.58,5.17,1,270,0
70,147,475,26,3,9,attendant,5.03,6.07,4.5,1,476,0
71,19,68,32,2,6,barrel,6.57,6.94,6.16,1,69,1
72,186,614,2,4,8,macaroni,6.47,7.0,6.0,1,615,1
73,119,399,13,3,8,umbrella,6.6,7.0,6.76,1,400,1
74,68,252,50,2,6,theory,2.57,1.9,5.88,1,253,0
75,153,508,100,1,4,fact,2.2,3.31,4.29,1,509,1
76,0,1,19,3,7,nursery,6.1,6.45,7.4,1,2,0
77,77,277,100,2,5,sugar,6.57,6.96,7.0,1,278,1
78,82,291,100,2,6,valley,6.57,6.66,6.56,1,292,0
79,234,876,1,2,6,python,5.47,6.42,5.88,1,877,0
80,236,891,100,2,6,dollar,6.5,6.62,6.48,1,892,0
81,125,417,35,2,8,kindness,4.2,1.63,4.84,1,418,1
82,59,221,2,2,7,missile,6.33,6.8,6.48,1,222,1
83,146,474,6,3,10,belongings,5.1,5.85,5.38,1,475,1
84,197,664,4,2,9,cleanness,4.77,3.63,5.64,1,665,0
85,106,363,38,3,10,atmosphere,4.23,3.76,7.17,1,364,0
86,123,414,1,2,6,abbess,2.97,4.78,2.48,1,415,0
87,238,894,5,2,5,abyss,5.17,5.4,5.88,1,895,0
88,91,319,40,2,8,garments,5.83,6.59,6.2,1,320,0
89,85,300,50,1,5,flesh,6.13,6.9,5.84,1,301,0
90,93,322,50,2,8,creature,4.6,6.03,5.5,1,323,0
91,86,305,6,3,10,photograph,6.43,6.56,6.72,1,306,0
92,37,126,7,2,6,satire,3.37,2.33,5.64,1,127,0
93,160,542,100,1,4,gold,6.47,6.76,6.36,1,543,1
94,102,346,50,3,8,magazine,6.4,6.8,6.52,1,347,1
95,92,321,100,2,6,master,4.97,5.53,5.28,1,322,1
96,162,547,2,2,6,feline,4.67,5.31,5.42,1,548,0
97,142,457,21,4,10,ambassador,5.7,6.22,5.22,1,458,1
98,10,35,19,4,9,emergency,5.03,3.25,6.28,1,36,0
99,127,420,19,4,12,contribution,3.67,3.33,5.44,1,421,1
100,79,285,50,3,8,hospital,6.53,6.8,7.44,1,286,0
101,36,124,19,2,7,session,3.67,3.62,5.4,1,125,1
102,90,317,1,3,9,brassiere,6.77,6.96,4.75,1,318,1
103,226,832,22,2,6,salute,5.77,5.0,6.52,1,833,1
104,166,551,46,1,4,doll,6.17,6.94,6.12,1,552,0
105,75,270,7,2,7,lobster,6.57,6.96,6.84,1,271,0
106,9,34,1,2,7,cowhide,5.4,6.89,6.39,1,35,1
107,48,183,100,1,4,hall,6.37,6.72,6.16,1,184,1
108,17,58,29,3,10,substitute,3.13,4.56,4.48,1,59,0
109,137,447,100,1,5,shoes,6.63,7.0,7.52,1,448,0
110,64,239,2,3,8,jeopardy,3.03,2.0,3.48,1,240,1
111,105,360,6,2,6,mammal,5.57,6.31,5.8,1,361,1
112,49,185,3,4,9,antitoxin,3.6,6.03,5.67,1,186,0
113,113,384,9,2,5,chaos,4.57,2.5,5.88,1,385,1
114,103,354,50,2,7,product,4.2,5.8,5.12,1,355,0
115,176,593,22,3,9,policeman,6.7,6.69,6.96,1,594,0
116,58,213,7,3,9,magnitude,2.5,3.03,5.68,1,214,1
