,Unnamed: 0,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown,recognized
0,0,152,580,100,2,6,winter,6.53,5.83,8.32,1,581,0,False
1,1,103,375,21,3,8,reaction,3.83,2.93,4.84,1,376,0,False
2,2,129,485,29,2,4,oven,6.4,6.96,8.08,1,486,0,False
3,3,212,780,39,2,6,belief,2.73,1.55,5.24,1,781,1,False
4,4,83,312,100,1,4,girl,6.87,6.83,5.12,1,313,0,False
5,5,110,396,28,2,6,rattle,6.3,6.6,6.8,1,397,0,False
6,6,69,263,28,1,5,thief,5.7,6.08,6.5,1,264,1,True
7,7,196,723,8,3,10,instructor,5.7,6.45,6.29,1,724,1,True
8,8,13,61,8,2,7,reptile,6.0,6.65,6.52,1,62,1,True
9,9,1,1,19,3,7,nursery,6.1,6.45,7.4,1,2,1,False
10,10,137,522,2,2,7,warbler,5.57,6.63,5.79,1,523,1,True
11,11,90,345,100,1,4,iron,6.07,6.87,6.12,1,346,0,False
12,12,121,431,50,2,8,clothing,6.17,6.63,7.08,1,432,1,False
13,13,199,732,7,3,9,appliance,5.73,6.45,6.64,1,733,1,False
14,14,206,757,50,2,7,fortune,4.57,3.82,6.0,1,758,1,False
15,15,146,566,50,2,6,ticket,6.2,7.0,7.21,1,567,0,False
16,16,154,586,27,2,7,scarlet,6.37,5.96,5.8,1,587,0,False
17,17,22,101,1,4,8,allegory,2.13,2.56,4.48,1,102,0,True
18,18,38,184,100,1,6,chance,2.5,1.51,5.61,1,185,1,True
19,19,82,309,20,1,4,lump,5.63,6.2,5.44,1,310,1,True
20,20,157,596,1,3,11,blunderbuss,3.47,5.25,3.56,1,597,1,True
21,21,73,283,100,3,9,gentleman,6.2,6.42,5.8,1,284,1,True
22,22,182,679,50,1,7,science,4.07,3.05,6.56,1,680,1,True
23,23,30,122,26,1,4,hoof,6.37,6.9,6.32,1,123,0,False
24,24,172,642,100,3,8,industry,5.77,5.76,6.0,1,643,0,False
25,25,204,751,7,2,5,opium,4.6,6.44,5.88,1,752,1,True
26,26,213,783,50,2,6,volume,4.53,5.14,6.16,1,784,0,False
27,27,106,384,9,2,5,chaos,4.57,2.5,5.88,1,385,1,False
28,28,201,736,26,2,7,impulse,3.7,2.08,4.96,1,737,1,True
29,29,189,709,1,2,10,guardhouse,5.8,6.69,5.76,1,710,1,True
30,30,159,600,25,2,7,welfare,3.17,2.35,6.16,1,601,0,True
31,31,195,721,9,3,7,edifice,4.7,6.56,5.16,1,722,1,True
32,32,53,221,2,2,7,missile,6.33,6.8,6.48,1,222,0,False
33,33,84,322,50,2,8,creature,4.6,6.03,5.5,1,323,1,False
34,34,0,0,100,1,3,lip,6.57,6.93,5.32,1,1,0,False
35,35,68,260,100,2,4,body,6.4,6.58,5.61,1,261,1,False
36,36,43,196,100,1,5,shore,6.63,6.69,8.13,1,197,0,False
37,37,185,689,20,5,11,cooperation,3.4,1.92,4.67,1,690,0,False
38,38,155,587,1,4,10,centennial,4.1,3.45,6.13,1,588,1,False
