,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown
0,145,525,19,2,7,fatigue,5.07,4.28,3.88,1,526,0
1,99,360,6,2,6,mammal,5.57,6.31,5.8,1,361,0
2,105,376,50,1,4,pipe,6.43,6.9,6.2,1,377,0
3,198,771,100,3,7,opinion,3.23,2.29,4.96,1,772,1
4,188,731,50,2,5,hotel,6.4,6.8,5.96,1,732,1
5,81,284,27,1,4,mood,3.67,1.52,5.36,1,285,0
6,218,831,2,4,8,panorama,4.47,4.18,5.72,1,832,1
7,234,882,50,3,10,confidence,3.4,1.52,4.17,1,883,1
8,204,785,2,2,7,pianist,6.43,6.55,5.96,1,786,0
9,216,826,20,2,7,charter,3.83,5.05,4.89,1,827,0
10,185,722,10,2,6,malice,3.3,1.73,4.56,1,723,1
11,147,540,22,2,7,tribute,3.57,3.12,5.52,1,541,1
12,144,524,50,1,4,corn,6.47,6.9,6.96,1,525,0
13,220,835,2,2,6,encore,4.0,3.62,5.72,1,836,0
14,197,766,32,2,6,cellar,6.27,6.83,6.79,1,767,1
15,56,203,10,3,8,illusion,3.53,2.03,4.67,1,204,1
16,229,864,22,3,9,attribute,2.4,2.0,3.83,1,865,1
17,168,645,20,3,6,vanity,3.83,1.77,4.92,1,646,1
18,159,602,50,1,4,flag,6.6,6.94,6.54,1,603,0
19,35,136,100,1,4,camp,6.57,6.56,7.17,1,137,1
20,3,17,15,2,6,hamlet,5.87,6.19,6.56,1,18,1
21,55,202,6,1,4,pelt,5.4,6.2,6.76,1,203,0
22,19,103,26,1,4,mast,6.43,6.96,7.12,1,104,1
23,186,725,29,2,8,blessing,4.43,1.75,6.19,1,726,0
24,2,13,21,1,6,cradle,6.23,6.94,6.96,1,14,0
25,49,184,100,1,6,chance,2.5,1.51,5.61,1,185,1
26,226,852,3,2,7,mileage,4.53,4.36,6.72,1,853,1
27,182,713,3,4,11,predicament,3.3,2.18,4.64,1,714,0
28,46,180,5,4,9,adversity,2.8,2.73,5.06,1,181,1
29,117,419,4,3,9,exclusion,2.8,2.41,5.32,1,420,1
30,41,161,3,1,3,pep,4.6,2.73,6.04,1,162,1
31,232,869,8,3,7,utensil,5.47,6.58,6.08,1,870,1
32,238,891,100,2,6,dollar,6.5,6.62,6.48,1,892,1
33,164,629,1,2,7,cuisine,5.57,5.52,6.32,1,630,1
34,7,36,4,3,8,ensemble,4.63,5.45,4.8,1,37,1
35,90,320,100,2,6,doctor,6.4,6.62,7.32,1,321,0
36,163,617,7,3,9,firmament,4.3,4.5,4.96,1,618,1
37,11,49,40,1,4,tool,5.77,6.8,6.88,1,50,0
38,32,130,8,3,8,mosquito,6.53,6.96,7.84,1,131,0
39,219,834,100,1,4,seat,6.4,6.79,6.08,1,835,0
40,77,271,4,3,10,passageway,5.53,6.28,5.08,1,272,0
41,102,363,38,3,10,atmosphere,4.23,3.76,7.17,1,364,1
42,180,707,4,1,4,pact,3.5,3.77,5.12,1,708,1
43,21,106,50,3,9,furniture,6.17,6.83,6.6,1,107,1
44,167,643,3,1,3,keg,6.4,6.87,4.84,1,644,1
45,80,280,2,2,5,dummy,5.83,6.34,4.88,1,281,0
46,138,507,100,1,4,star,6.7,6.73,7.04,1,508,1
47,44,172,100,1,5,world,5.97,5.9,6.88,1,173,0
48,30,126,7,2,6,satire,3.37,2.33,5.64,1,127,1
49,162,610,1,2,6,tidbit,4.37,5.4,5.79,1,611,0
50,60,212,100,1,6,friend,6.37,4.89,6.4,1,213,0
51,43,169,23,4,11,legislation,3.33,4.0,5.92,1,170,0
52,122,449,24,3,10,engagement,4.7,3.46,5.76,1,450,0
53,0,4,1,2,9,limelight,4.83,3.06,4.72,1,5,0
54,101,362,14,3,7,gravity,3.6,2.56,6.24,1,363,1
55,76,267,1,3,11,wistfulness,3.13,1.83,4.16,1,268,0
56,27,122,26,1,4,hoof,6.37,6.9,6.32,1,123,0
57,103,369,2,2,5,fiord,5.7,6.69,6.48,1,370,1
58,120,441,3,3,9,insolence,3.93,1.93,4.76,1,442,0
59,85,303,50,2,6,excuse,2.77,3.05,4.04,1,304,1
60,31,129,100,3,9,direction,3.83,3.19,6.78,1,130,1
61,72,253,2,3,9,lubricant,5.23,5.86,5.44,1,254,0
62,82,290,23,1,5,truck,6.6,7.0,6.48,1,291,0
63,64,225,100,1,4,mind,3.03,2.6,5.88,1,226,0
64,152,581,2,5,13,extermination,4.03,3.13,4.96,1,582,0
65,75,264,1,1,4,kine,2.0,4.53,2.88,1,265,0
66,181,710,1,4,10,abdication,3.57,2.66,4.72,1,711,0
67,115,415,1,4,9,criterion,1.83,1.93,3.0,1,416,0
68,73,256,3,2,7,concept,1.93,1.97,3.76,1,257,1
69,133,496,6,2,7,leopard,6.77,7.0,6.83,1,497,0
70,228,857,2,2,7,skillet,6.1,6.8,7.43,1,858,1
71,231,866,41,2,6,humour,4.57,2.31,5.72,1,867,0
72,224,849,29,3,8,incident,2.9,3.0,4.16,1,850,0
73,106,377,27,1,4,lime,5.67,6.69,7.12,1,378,1
74,59,210,5,3,9,comforter,5.03,5.06,6.19,1,211,1
75,187,729,1,5,9,unreality,2.1,1.18,4.92,1,730,0
76,178,694,3,3,8,retailer,4.33,5.88,6.76,1,695,1
77,48,183,100,1,4,hall,6.37,6.72,6.16,1,184,1
78,230,865,50,2,5,glory,4.13,1.77,5.88,1,866,1
79,33,132,1,2,8,offshoot,3.67,4.2,5.46,1,133,1
80,111,395,100,1,5,grass,6.63,6.96,7.54,1,396,1
81,174,685,22,3,10,reflection,5.9,3.12,6.56,1,686,1
82,141,515,22,1,4,moss,6.33,6.87,7.04,1,516,1
83,95,342,27,2,6,patent,3.43,4.05,4.96,1,343,1
84,1,8,27,2,5,maker,3.57,4.46,5.0,1,9,1
85,223,848,1,2,6,surtax,1.63,4.12,2.96,1,849,1
86,6,32,8,2,7,spinach,6.47,6.9,7.08,1,33,1
87,119,431,50,2,8,clothing,6.17,6.63,7.08,1,432,0
88,236,885,4,2,7,dreamer,5.33,5.1,5.04,1,886,0
89,215,821,8,3,9,ambulance,6.67,7.0,7.52,1,822,1
90,157,600,25,2,7,welfare,3.17,2.35,6.16,1,601,0
91,9,45,9,1,3,nun,6.67,6.76,6.6,1,46,1
92,153,582,50,2,6,virtue,3.33,1.46,4.87,1,583,0
93,38,143,29,2,7,harness,5.1,6.93,6.2,1,144,1
94,222,846,1,4,10,unbeliever,2.6,4.0,4.72,1,847,1
95,36,137,21,2,7,sulphur,6.03,6.72,6.25,1,138,1
96,191,739,6,4,9,alligator,6.87,6.93,7.72,1,740,0
97,45,177,7,4,10,rheumatism,4.5,5.39,6.48,1,178,0
98,209,799,2,3,10,camouflage,5.2,5.26,6.38,1,800,1
99,15,66,36,2,6,victim,5.07,5.49,5.36,1,67,1
100,108,384,9,2,5,chaos,4.57,2.5,5.88,1,385,1
101,135,500,50,3,8,prisoner,6.23,6.45,6.76,1,501,0
102,51,190,1,2,5,mucus,5.53,6.16,6.38,1,191,0
103,212,805,1,3,7,perjury,3.37,2.7,5.92,1,806,1
104,67,232,8,2,7,glacier,6.07,6.93,7.21,1,233,1
105,123,450,15,4,9,obedience,3.67,1.58,5.2,1,451,1
106,194,753,50,2,7,student,6.27,6.38,5.96,1,754,0
107,70,242,50,3,10,settlement,4.6,5.13,6.24,1,243,0
108,92,327,100,1,7,thought,2.77,1.28,5.32,1,328,0
109,42,163,20,3,9,sensation,3.67,1.99,5.16,1,164,0
110,25,114,14,1,5,brute,5.17,5.44,6.08,1,115,0
111,148,552,25,2,7,speaker,5.67,6.13,5.54,1,553,1
112,208,791,100,1,5,woods,6.7,6.87,7.84,1,792,0
113,52,198,1,2,6,gadfly,3.77,5.87,3.28,1,199,1
114,189,732,7,3,9,appliance,5.73,6.45,6.64,1,733,1
115,134,499,2,4,8,atrocity,3.67,2.38,4.17,1,500,0
116,177,692,26,3,9,interview,5.03,4.34,4.88,1,693,1
117,172,680,50,1,3,bar,6.4,6.83,6.08,1,681,0
118,40,156,19,2,6,mantle,6.27,6.76,5.92,1,157,1
119,130,490,27,2,6,banker,6.03,6.38,6.56,1,491,0
120,201,778,4,4,9,festivity,5.3,4.45,6.4,1,779,0
121,47,182,7,1,4,gore,4.67,4.79,5.5,1,183,0
122,156,595,19,3,10,strawberry,6.8,7.0,6.71,1,596,1
123,137,504,50,2,7,boulder,6.13,6.96,5.88,1,505,1
124,74,261,2,3,6,simile,2.9,3.97,5.25,1,262,1
125,34,133,1,3,11,comradeship,4.4,2.75,5.21,1,134,1
126,71,243,50,2,8,marriage,5.8,3.94,6.29,1,244,1
127,211,803,24,2,6,sunset,6.83,6.07,6.96,1,804,1
128,18,95,29,1,6,breeze,5.87,5.94,7.33,1,96,1
129,166,637,1,4,9,accordion,6.5,7.0,5.89,1,638,0
130,126,468,20,2,7,settler,5.4,6.07,6.48,1,469,1
131,149,564,45,2,6,maiden,6.1,6.52,5.04,1,565,1
132,227,855,20,2,8,hillside,6.3,6.59,6.92,1,856,0
