freq,syl,let,word,imag,conc,meaning,list
50,2,6,temple,6.13,6.69,6.75,1
5,3,6,gaiety,5.63,2.15,6.72,1
22,2,6,infant,6.33,6.76,7.2,1
3,1,4,suds,6.4,6.75,7.29,1
50,3,6,potato,6.5,7,7.13,1
35,3,8,elephant,6.83,7,6.88,1
9,3,8,revolver,6.7,6.96,7.4,1
7,4,10,habitation,4.6,6.03,5.26,1
24,3,5,agony,5.43,3.13,6.06,1
25,4,8,ceremony,5.37,4.58,5.17,1
3,3,10,inducement,2.93,2.34,3.68,1
100,1,4,ship,6.67,6.93,7.87,1
23,2,5,drama,4.9,3.66,7,1
7,2,7,lobster,6.57,6.96,6.84,1
27,2,6,pepper,6.27,6.96,6.52,1
7,2,6,garret,4.13,6.14,4.12,1
5,3,7,heroism,4.17,2.26,5.84,1
2,4,10,evangelist,4.97,5.95,5.28,1
6,4,9,alligator,6.87,6.93,7.72,1
100,1,4,king,6.27,6.34,7.5,1
13,1,5,skull,6.47,6.96,6.64,1
1,4,9,accordion,6.5,7,5.89,1
50,2,5,event,2.9,3.72,5.04,1
100,2,5,river,6.63,6.83,7.52,1
29,3,8,incident,2.9,3,4.16,1
41,2,8,forehead,6.27,6.93,5.08,1
13,2,7,hearing,3.77,3.57,6.64,1
5,2,9,nightfall,6.17,5.73,6.52,1
1,3,11,blunderbuss,3.47,5.25,3.56,1
1,3,9,increment,2.63,2.85,3.72,1
28,2,7,steamer,6.53,6.94,6.32,1
3,2,9,labyrinth,4.83,6.16,4.8,1
27,2,6,banker,6.03,6.38,6.56,1
23,3,10,restaurant,6.47,6.83,6.88,1
2,2,5,dummy,5.83,6.34,4.88,1
1,2,11,forethought,2.57,1.83,4.4,1
2,3,8,aptitude,2.6,1.62,5.25,1
3,1,5,truce,4.8,3.05,6.17,1
24,1,5,thorn,6.33,6.87,6.44,1
1,3,11,thistledown,3.83,6.14,4.76,1
5,2,7,profile,5.97,5.72,5.6,1
3,3,8,outsider,5.27,5.07,4.56,1
1,2,10,guardhouse,5.8,6.69,5.76,1
4,2,7,dreamer,5.33,5.1,5.04,1
7,2,6,satire,3.37,2.33,5.64,1
50,2,6,prison,6.23,6.62,7.21,1
1,3,7,arbiter,2.33,4.63,3.71,1
23,2,6,beaver,6.5,6.96,8.19,1
2,2,6,reflex,4.73,4.08,5.88,1
1,2,5,proxy,2.7,3.72,4.84,1
100,2,4,city,6.43,6.41,7.72,1
45,2,6,vision,4.73,4,6.39,1
3,2,9,hindrance,3.07,2.97,4.8,1
28,5,11,examination,6.07,5.14,7,1
1,5,9,unreality,2.1,1.18,4.92,1
30,2,6,genius,4.27,2.76,5.5,1
5,2,5,venom,4.23,5.62,6.4,1
1,2,5,mucus,5.53,6.16,6.38,1
1,2,7,buffoon,4.33,4.63,4.5,1
100,1,4,love,5.6,1.8,6.44,1
1,3,9,charlatan,3.43,5.28,3.19,1
7,3,8,kerosene,5.77,6.87,6.04,1
47,2,6,meadow,6.43,6.69,8,1
25,2,8,sickness,5.17,4.94,6.36,1
6,1,4,pelt,5.4,6.2,6.76,1
2,2,6,deluge,4.57,4.38,5.32,1
27,3,10,procession,5.7,5.9,5.63,1
8,3,8,beverage,5.87,5.96,6.58,1
25,2,7,speaker,5.67,6.13,5.54,1
50,2,6,custom,3.43,2.99,5.33,1
29,1,4,unit,2.87,4.33,4.8,1
1,2,5,rosin,4.2,5.88,4.56,1
50,1,4,fate,2.37,1.46,4,1
13,1,5,nymph,5.63,4.4,5.36,1
7,3,9,appliance,5.73,6.45,6.64,1
19,1,4,tank,6.23,6.87,6.48,1
24,3,7,poverty,5.07,3.17,5.44,1
2,2,8,namesake,3.37,3.53,4.2,1
8,1,4,bard,4.9,5.03,4.8,1
2,3,8,homicide,4.17,3.81,6.24,1
1,3,8,emporium,2.93,5.16,4.04,1
27,2,5,maker,3.57,4.46,5,1
50,1,4,wine,6.6,6.96,7.54,1
1,3,8,barnacle,4.5,6.2,5.69,1
100,1,5,blood,6.7,6.82,6.56,1
100,1,4,skin,6.43,6.96,5.67,1
40,1,4,tool,5.77,6.8,6.88,1
1,3,8,clemency,2.9,1.97,3.94,1
15,2,6,hamlet,5.87,6.19,6.56,1
21,1,6,cradle,6.23,6.94,6.96,1
1,3,9,brassiere,6.77,6.96,4.75,1
28,4,11,competition,4.53,3.08,5.69,1
19,2,7,thicket,5.6,6.49,6.04,1
100,2,8,pleasure,4.8,2.1,5.54,1
100,2,6,season,4.87,4.58,7.88,1
26,3,6,misery,4.37,2.28,5.84,1
6,2,6,mammal,5.57,6.31,5.8,1
14,3,7,gravity,3.6,2.56,6.24,1
3,3,9,pollution,4.63,4.14,7.4,1
3,3,9,blasphemy,3.17,2.88,5.19,1
100,2,5,water,6.6,6.96,7.5,1
3,2,8,leggings,5.87,6.9,6.12,1
3,3,10,gymnastics,5.83,5.08,5.52,1
19,4,12,contribution,3.67,3.33,5.44,1
21,3,8,devotion,3.9,1.48,5.52,1
100,1,3,sky,6.73,6.18,7.84,1
50,3,8,occasion,2.53,3.22,5,1
5,3,9,vigilance,3.53,2.6,5.72,1
7,3,9,firmament,4.3,4.5,4.96,1
24,2,6,sunset,6.83,6.07,6.96,1
28,3,7,gallery,5.97,6.49,5.88,1
9,3,10,discretion,2.27,1.34,4.2,1
4,3,6,ritual,4.7,3.7,5.12,1
27,2,6,vapour,4.8,5.93,5.76,1
45,3,9,candidate,4.67,5.53,5.76,1
42,3,10,instrument,5.67,6.25,6.72,1
50,3,6,salary,4.7,5.23,5.08,1
43,2,7,blossom,6.67,6.62,7.6,1
50,2,8,instance,2,2.87,4.04,1
2,4,8,sobriety,3.5,2.9,4.52,1
4,3,8,vocation,3.8,3.26,6.12,1
1,1,4,lice,5.57,6.36,6.56,1
50,2,6,artist,5.93,6.14,6.65,1
49,1,3,toy,6.17,6.63,6.96,1
15,4,9,obedience,3.67,1.58,5.2,1
22,3,10,permission,2.87,4.43,4.68,1
7,3,7,epistle,4.23,5.58,5.63,1
19,3,9,amazement,4.47,2.18,4.5,1
100,4,8,material,5.07,6.1,5.92,1
100,2,5,woman,6.7,6.63,6.4,1
50,1,3,lad,6.33,6.58,5.76,1
100,1,5,dress,6.53,6.93,5.68,1
2,2,5,fiord,5.7,6.69,6.48,1
100,1,4,lake,6.67,6.9,9.22,1
100,1,3,car,6.87,7,6.38,1
100,1,4,fact,2.2,3.31,4.29,1
20,1,5,quest,4.53,2.76,5.2,1
1,3,7,bivouac,3.37,5.37,5.36,1
2,2,9,sheepskin,6.13,6.83,6.44,1
2,4,8,atrocity,3.67,2.38,4.17,1
50,4,10,automobile,6.87,7,6.16,1
25,2,8,daylight,5.9,5.75,5.8,1
1,3,11,cobblestone,5.87,6.58,6.38,1
100,2,6,effort,3.33,2.22,5.75,1
100,2,6,doctor,6.4,6.62,7.32,1
100,1,5,plant,6.5,6.87,8.32,1
3,2,7,shotgun,6.6,6.96,7.88,1
19,3,7,edition,3.4,4.64,5.88,1
100,3,7,opinion,3.23,2.29,4.96,1
50,2,9,christmas,6.7,4.53,8.76,1
19,3,10,strawberry,6.8,7,6.71,1
100,1,6,street,6.57,6.62,7.48,1
1,3,9,speakeasy,3.8,4.84,5.43,1
3,3,10,rendezvous,5.2,4,6.04,1
19,2,9,northwest,4,3.97,5.76,1
9,3,9,ownership,3.27,3.07,5.2,1
32,1,5,ghost,5.37,2.97,6,1
27,3,9,intellect,2.93,1.83,5.56,1
29,4,10,prosperity,4.47,2.78,5.44,1
100,2,5,paper,6.3,6.89,7.68,1
8,4,11,mathematics,4.5,4.35,6.88,1
7,1,4,core,5.17,4.67,5.11,1
1,3,11,comradeship,4.4,2.75,5.21,1
4,3,7,mastery,2.77,2.2,5.46,1
